2, 2, 0.03983372629027106
2, 1, 0.041165778927515204
2, 0.5, 0.03932112993842302
2, 0.1, 0.30866262337644496
2, 0.05, 0.811747753572111
2, 0.01, 1.0
2, 0.005, 1.0
3, 2, 0.03954374964931292
3, 1, 0.04001489214345006
3, 0.5, 0.03777592244574132
3, 0.1, 0.27483320950370976
3, 0.05, 0.7734926973893822
3, 0.01, 1.0
3, 0.005, 1.0
4, 2, 0.039796868962964055
4, 1, 0.040174959410759194
4, 0.5, 0.03631698724555911
4, 0.1, 0.2662594376102172
4, 0.05, 0.7578504889576219
4, 0.01, 1.0
4, 0.005, 1.0
5, 2, 0.039588317311318066
5, 1, 0.03989742705967138
5, 0.5, 0.035053766775106396
5, 0.1, 0.2550869483974244
5, 0.05, 0.7441381677538899
5, 0.01, 1.0
5, 0.005, 1.0
6, 2, 0.03953310915135308
6, 1, 0.04007818423529751
6, 0.5, 0.035859740067596214
6, 0.1, 0.25376064987455305
6, 0.05, 0.7393073621126036
6, 0.01, 1.0
6, 0.005, 1.0
7, 2, 0.0395841741321661
7, 1, 0.03998514635045826
7, 0.5, 0.03538519976469644
7, 0.1, 0.25081299963848025
7, 0.05, 0.7337649734284095
7, 0.01, 1.0
7, 0.005, 1.0
8, 2, 0.0396613902197248
8, 1, 0.0402609389032413
8, 0.5, 0.03556805843243862
8, 0.1, 0.2491944232672895
8, 0.05, 0.7278587071020155
8, 0.01, 1.0
8, 0.005, 1.0
9, 2, 0.039580175738502414
9, 1, 0.040069936394254366
9, 0.5, 0.03589912098690711
9, 0.1, 0.2488841047662721
9, 0.05, 0.7308742370595147
9, 0.01, 1.0
9, 0.005, 1.0
10, 2, 0.03960808351353157
10, 1, 0.03996255777412006
10, 0.5, 0.035713259170640346
10, 0.1, 0.24579916975003435
10, 0.05, 0.7271518700951234
10, 0.01, 1.0
10, 0.005, 1.0
