2, 0.05883, 0.05807, 0.32262, 0.29522, 0.29288
1.5, 0.05883, 0.05807, 0.3498, 0.35707, 0.35235
1, 0.04006, 0.10154, 0.35439, 0.31339, 0.30802
0.8, 0.03593, 0.11494, 0.37569, 0.38231, 0.3766
0.6, 0.03412, 0.12304, 0.3722, 0.37817, 0.36716
0.4, 0.02505, 0.16264, 0.37721, 0.37599, 0.37099
0.2, 0.01638, 0.19446, 0.37127, 0.3743, 0.36523
0.1, 0.0055, 0.27696, 0.43148, 0.38161, 0.34229
0.08, 0.00377, 0.31174, 0.37128, 0.38003, 0.34083
0.06, 0.00186, 0.35844, 0.37304, 0.37885, 0.3365
0.04, 0.00073, 0.40861, 0.42372, 0.37705, 0.32396
0.02, 7e-05, 0.43759, 0.37055, 0.37494, 0.31202
0.01, 2e-05, 0.44158, 0.42492, 0.37793, 0.32083
0.008, 0.0, 0.44207, 0.36749, 0.40111, 0.31336
0.006, 0.0, 0.4422, 0.43115, 0.38099, 0.3157
0.004, 0.0, 0.44235, 0.37084, 0.37667, 0.31588
0.002, 0.0, 0.44257, 0.37196, 0.37794, 0.30898
0.001, 0.0, 0.44268, 0.42847, 0.38158, 0.30967
