2, 1, 9504.0, 81126
2, 2, 2905.5, 21297
2, 3, 5749.5, 33318
2, 4, 2184.0, 14235
2, 5, 4162.5, 18813
2, 6, 1588.5, 10869
2, 7, 2677.5, 13941
2, 8, 1287.0, 8253
2, 9, 2304.0, 10692
2, 10, 1023.0, 7473
3, 1, 6394.0, 82563
3, 2, 2064.0, 14181
3, 3, 3776.0, 23796
3, 4, 1772.0, 8913
3, 5, 3213.0, 14025
3, 6, 1486.0, 6555
3, 7, 2087.0, 9528
3, 8, 1180.0, 4833
3, 9, 1585.0, 6774
3, 10, 905.0, 2595
4, 1, 5157.0, 82563
4, 2, 1902.0, 22794
4, 3, 3306.0, 35916
4, 4, 1523.25, 13677
4, 5, 2341.5, 19473
4, 6, 1268.25, 9918
4, 7, 1878.75, 13470
4, 8, 775.5, 7317
4, 9, 1346.25, 9762
4, 10, 585.75, 5580
5, 1, 4068.0, 82563
5, 2, 1519.2, 22794
5, 3, 2471.4, 33165
5, 4, 1330.8, 11862
5, 5, 2007.0, 16329
5, 6, 980.4, 8457
5, 7, 1482.0, 11688
5, 8, 813.6, 6471
5, 9, 964.2, 8325
5, 10, 659.4, 4494
6, 1, 3436.5, 82563
6, 2, 1183.0, 22794
6, 3, 1965.5, 33165
6, 4, 1117.5, 13848
6, 5, 1736.0, 20190
6, 6, 772.5, 10599
6, 7, 1249.0, 14427
6, 8, 602.5, 8007
6, 9, 926.5, 10119
6, 10, 504.5, 5520
7, 1, 2896.285714285714, 82563
7, 2, 1145.142857142857, 22794
7, 3, 1876.2857142857142, 33165
7, 4, 918.4285714285714, 13848
7, 5, 1353.857142857143, 19635
7, 6, 836.5714285714286, 9831
7, 7, 1111.2857142857142, 12897
7, 8, 519.0, 7080
7, 9, 877.2857142857143, 9885
7, 10, 507.85714285714283, 5436
8, 1, 2547.75, 82563
8, 2, 958.875, 22794
8, 3, 1489.5, 33165
8, 4, 846.375, 13848
8, 5, 1294.125, 19635
8, 6, 708.75, 11307
8, 7, 960.0, 14613
8, 8, 515.625, 8439
8, 9, 659.625, 10560
8, 10, 453.375, 6039
9, 1, 2242.0, 82563
9, 2, 892.3333333333334, 22794
9, 3, 1423.6666666666667, 33165
9, 4, 694.3333333333334, 13848
9, 5, 1092.3333333333333, 19635
9, 6, 619.0, 11307
9, 7, 891.6666666666666, 14358
9, 8, 430.3333333333333, 8193
9, 9, 617.3333333333334, 10563
9, 10, 394.3333333333333, 5865
10, 1, 2082.3, 82563
10, 2, 760.8, 22794
10, 3, 1325.1, 33165
10, 4, 614.4, 13848
10, 5, 1017.9, 19635
10, 6, 523.5, 11307
10, 7, 846.3, 14358
10, 8, 370.5, 8967
10, 9, 563.1, 10812
10, 10, 329.7, 6123
