1, 0.10735, 0.11561, 0.15521, 0.1571, 0.149
0.8, 0.09852, 0.11688, 0.17526, 0.17146, 0.18016
0.6, 0.09251, 0.11857, 0.1782, 0.17871, 0.1747
0.4, 0.06231, 0.15956, 0.17946, 0.18126, 0.17618
0.2, 0.02457, 0.29759, 0.18263, 0.17917, 0.17013
0.1, 0.00505, 0.57652, 0.17885, 0.1797, 0.1659
0.08, 0.00263, 0.66317, 0.17959, 0.18074, 0.16375
0.06, 0.0011, 0.78449, 0.21694, 0.19649, 0.16602
0.04, 0.00044, 0.92395, 0.1978, 0.17951, 0.15108
0.02, 0.00012, 0.98909, 0.2119, 0.18245, 0.15296
0.01, 0.0, 0.99774, 0.17593, 0.18312, 0.14882
0.008, 0.0, 0.9988, 0.21738, 0.34856, 0.17705
0.006, 0.0, 0.99929, 0.17891, 0.19099, 0.29538
0.004, 0.0, 0.99951, 0.27577, 0.18162, 0.14741
0.002, 0.0, 0.99982, 0.24959, 0.19278, 0.14798
0.001, 0.0, 1.0, 0.18281, 0.18001, 0.15209
